MAR_ORF001	137.0	4668.0	1044.4444444444443
MAR_ORF002	21.0	281.0	88.22222222222223
MAR_ORF003	0.0	606.0	159.0
MAR_ORF004	250.0	5491.0	1449.7777777777778
MAR_ORF005	304.0	6747.0	1654.7777777777778
MAR_ORF006	28.0	257.0	178.44444444444446
MAR_ORF007	91.0	10039.0	1832.2222222222222
MAR_ORF008	23.0	1688.0	296.55555555555554
MAR_ORF009	79.0	3301.0	724.4444444444445
MAR_ORF010	562.0	15424.0	3581.777777777778
MAR_ORF011	0.0	204.0	75.0
MAR_ORF012	20.0	116.0	58.111111111111114
MAR_ORF013	388.0	20590.0	6153.333333333333
MAR_ORF014	17.0	66374.0	10176.888888888889
MAR_ORF015	151.0	834.0	451.8888888888889
MAR_ORF016	0.0	560.0	132.22222222222223
MAR_ORF017	179.0	2826.0	1477.0
MAR_ORF018	55.0	1250.0	315.3333333333333
MAR_ORF019	59.0	10079.0	1980.888888888889
MAR_ORF020	178.0	12995.0	4920.777777777777
